

qurhiħa;qu'fërhiħa;qurhiħa;qurhiħe,ˈɢuˌr̥iħæ;ˈɢuʔfɤˌr̥iħæ;ˈɢuˌr̥iħæ;ˈɢuˌr̥iħɛ,V-PP;V-PN;V-VP;V-VI,to float (on/in water),
rhü;jêñreu;rhü;rhüe,ˈr̥y;ˈjeɴrøʊ̯;ˈr̥y;ˈr̥yɛ,V-PP;V-PN;V-VP;V-VI,to melt (intrans),CAUS = (trans),
ħanħaome;iñanħaome;ħanħaome;ħanħaome,ˈħæn̥ˌħæo̯mɛ;ˈiɴæn̥ˌħæo̯mɛ;ˈħæn̥ˌħæo̯mɛ;ˈħæn̥ˌħæo̯mɛ,V-PP;V-PN;V-VP;V-VI,to burn (intrans),CAUS = (trans);CF: *ħanjmanjh* 'fire'
quñëź;quźjiñêź;ququoźnjof;ququoźanjh,ˈɢuɴɤʑ;ˈɢuʑˌjiɴeʑ;ˈɢuˌɢuo̯ʑɲɔf;ˈɢuˌɢuo̯ʑæɲ̊,V-PP;V-PN;V-VP;V-VI,to flow,
qu'uccou;quźjë'uccou;qu'uccünjef;qu'uccüanjh,ˈɢuˌʔuccou̯;ˈɢuʑjɤˌʔuccou̯;ˈɢuʔucˌcyɲɛf;ˈɢuʔucˌcyæɲ̊,V-PP;V-PN;V-VP;V-VI,to freeze (intrans),CAUS = (trans);REG: quña'uccou

vanśke,ˈʋæɲ̊ɕkɛ,N-D,sky,REG: vaśnjaogge
rhiikke,ˈr̥iˌikkɛ,N-D,sun,
vaśke,ˈʋæɕkɛ,N-D,moon,
cêrrheagge,ˈcer̥ˌr̥eɐ̯ggɛ,N-D,star,
verxanjh,ˈʋɛr̥xæɲ̊,N-A,rain,
verxanjh,ˈʋɛr̥xæɲ̊,V,to rain,FROM: noun
virxenjh,ˈʋir̥xɛɲ̊,N-A,heavy rain,
vaśxanjh,ˈʋæɕxæɲ̊,N-A,clouds,
veśxenjh,ˈʋɛɕxɛɲ̊,N-A,stormclouds,
vaftnjanjh,ˈʋæftɲ̊æɲ̊,N-A,wind;weather,FROM: *vatfenjh* 'to blow'
ħa'üccünjh,ˈħæˌʔyccyɲ̊,N-A,snow (falling),FROM: *ħa'üccüa'* 'snow';CF: *ħa'üccüyenjh* 'blizzard'
ħa'üccünjh,ˈħæˌʔyccyɲ̊,V,to snow,FROM: noun
ya'üccünjh,ˈɟæˌʔyccyɲ̊,N-A,hail,FROM: *ya'üccüa'* 'ice'
ya'üccünjh,ˈɟæˌʔyccyɲ̊,V,to hail,FROM: noun
ħa'üccüyenjh,ˈħæʔycˌcyɟɛɲ̊,N-A,blizzard / snowstorm,CF: *ħa'üccünjh* 'snow'
ca'iccenjh,ˈcæʔˌiccɛɲ̊,N-A,dust storm,FROM: *ca'icca* 'dust'
ħanjmanjh,ˈħæɲ̊m̥æɲ̊,N-A,fire,
ħanħaśxanjh,ˈħæn̥ˌħæɕxæɲ̊,N-A,smoke,CF: *ħanśanjh* 'smoke > odour'
ħa'uħħo,ˈħæʔˌuħħɔ,N-I,ashes,
ârrâyanjh,ʌrˈrʌɟæɲ̊,N-A,flow / current,
me'rhesanjh,ˈmɛʔˌr̥ɛsæɲ̊,N-A,tide,FROM: *me'rhe-esa* 'sea-cycle'
tfaanjh,ˈtfææɲ̊,N-A,wave,
kubrhâyanjh,ˈkubˌrʌɟæɲ̊,N-A,strong current,FROM: *kup-ârrâyanjh* 'much-flow'
ku'rhu,ˈkuʔr̥u,N-I,flood (due to river/melt),FROM: *kup-rhü* 'much-melt'
kumverxa,ˈkumˌʋɛr̥xæ,N-I,flood (due to rain),FROM: *kup-verxa* 'much-rain'
kuttfa,ˈkuttfæ,N-A,flood (due to sea),FROM: *kup-tfa* 'much-wave'
paocaanjh,ˈpæo̯ˌcææɲ̊,N-A,thunderclap,
rhuonjarrhänjh,ˈr̥uo̯ˌɲær̥r̥aɲ̊,N-A,thunder rumble,
qaccaogge,ˈɢæcˌcæo̯ggɛ,N-A,lightning flash,

niño,ˈniɴɔ,N-I,night,
yinddźo,ˈɟiɲɟɟ͡ʑɔ,N-I,day,
qu'ħuśśa,ˈɢuʔˌħuɕɕæ,N-I,year,CF: *ħêśśa* 'cycle'
vaśħêśśa,ˈʋæɕˌħeɕɕæ,N-I,month,FROM: *vaś-ħêśśa* 'moon-cycle'
ħêśśa,ˈħeɕɕæ,N-I,cycle,
esa,ˈɛsæ,N-I,cyclical phase / season;period of time,
iske,ˈiskɛ,N-I,winter,FROM: *ni-esa* 'night-phase';CF: *Ienj(eħħonj)* 'Northlands'
rhüźakke,ˈr̥yˌʑækkɛ,N-I,spring,FROM: *rhü-esa* 'melt-phase'
kusko,ˈkuskɔ,N-I,summer,merged form w/ *kusko* 'plenitude';FROM: *kus-esa* 'plenitude-phase'
ħusko,ˈħuskɔ,N-I,autumn,FROM: *Qu'ħus-esa* 'God of Harvest-phase'

vônśko,ˈʋoɲ̊ɕkɔ,N-D,north wind;north,FROM: 'Frost Bird'
ħanśko,ˈħæɲ̊ɕkɔ,N-D,south wind;south,FROM: 'Flame Bird'
pâenśko,ˈpɑe̯ɲ̊ɕkɔ,N-D,west~SW wind;west~SW,FROM: 'Storm Bird'
ghâeñośko,ˈɣɑe̯ɴˌɔɕkɔ,N-D,east wind;east,FROM: 'Mountain Bird'
verħośko,ˈʋɛr̥ˌħɔɕkɔ,N-D,northwest wind;northwest,FROM: 'Rain Bird'

euź,ø̯ʊʑ,N-I,water,generic word;CF: *jêźikke* 'the water';CF: *quttśia* 'drinking water'
me'eqqa,ˈmɛʔˌɛɢɢæ,N-I,soil,CF: *me'ekke* 'ground'
erreqqa,ɛrˈrɛɢɢæ,N-I,stone,
erreqqe,ɛrˈrɛɢɢɛ,N-I,pebble,
jêreqqa,ˈjeˌrɛɢɢæ,N-I,sand,FROM: 'jêź-reqqa' 'water-stone'
xekka',ˈxɛkkæʔ,N-I,path;way / path taken,,
ca'icca,ˈcæʔˌiccæ,N-I,dust,
ħa'üccüa',ˈħæʔycˌcyæʔ,N-I,snow,CF: *ħa'üccünjh* 'falling snow'
ya'üccüa',ˈɟæʔycˌcyæʔ,N-I,ice,CF: *ya'üccünjh* 'hail';CF: *qu'uccou* 'to freeze'

jêźikke,ˈjeˌʑikkɛ,N-D,(the) water,"water as terrain;(seas, lakes & rivers);CF: *euź* 'water'"
me'ekke,ˈmɛʔˌɛkkɛ,N-D,(the) ground,FROM: *me'eqqa* 'soil'
yeħħa,ˈɟɛħħæ,N-I,land,
niñâe,ˈniɴɑe̯,N-I,tundra,FROM: *niño* 'night';ORIG: northern lands;CF: *Ienjeħħonj* 'The Northlands'
yinddźoeħħa,ˈɟiɲɟɟ͡ʑɔˌɛħħæ,N-I,plains,FROM: *yinddźo* 'day';ORIG: southern lands;CF: *Yinddźaħonj* 'The Southlands'
ârrhâemâe,ʌr̥ˈr̥ɑe̯mɑe̯,N-I,highlands,CF: *ârrhâem'* 'high';CF: *ârrhâfonj* 'The Highlands'
marrhöâe,ˈmær̥ˌr̥øɑe̯,N-I,lowlands,CF: *me'rhenjh* 'sea'
arrhacca',ær̥ˈr̥æccæʔ,N-I,mountain/s,CF: *xacca* 'above';CF: *ârrhâem* 'up'
ħuoñdvaś,ˈħuo̯ɴdʋæɕ,N-I,forest,CF: *tfaśśa* 'tree'
quieźanjh,ˈɢuˌie̯ʑæɲ̊,N-A,river,
meccieźanjh,ˈmɛcˌcie̯ʑæɲ̊,N-A,lake,
ca'iccüźonj,ˈcæʔicˌcyʑɔɲ,N-A,oasis,FROM: *ca'icca-euź* 'dust-water'
me'rhenjh,ˈmɛʔˌr̥ɛɲ̊,N-A,sea,
tfirrha,ˈtfir̥r̥æ,N-I,hill,
kixeź,ˈkixɛʑ,N-I,beach,
arrharrä,ær̥ˈr̥ærra,N-I,coast,
fienja',ˈfie̯ɲæʔ,N-I,base / foot / bottom,
vaoña',ˈʋæo̯ɴæʔ,N-I,summit / peak / top,
uoyyeħħa,ˈuo̯ɟˌɟɛħħæ,N-I,valley,
üâe,ˈyɑe̯,N-I,island,CF: *üma* 'knee'
moandvaś,ˈmoɐ̯ndʋæɕ,N-I,pine forest,
paccantfaś,ˈpæcˌcæn̥tfæs,N-I,oak forest,
euljêo,ˈøʊ̯ʎeɔ,N-I,desert,FROM: Shch. /ˈevlegɑ/

Vaoñdunj,ˈʋæo̯ɴduɲ,N-H,Realm of the Living;The Known World,often excluding Ljanêrmonj;FROM: *Vaoñdv(ikke)* 'Goddess of the Living World'
Yeħke,ˈɟɛħkɛ,N-D,The World,"all lands, known or unknown, in practice often synonymous w/ Vaoñdunj;FROM: *yeħħa* 'land'"
Ljiħħeimonj,ˈʎiħˌħei̯mɔɲ,N-H,The Homeland ('Land of Birth'),FROM: *Ljiħħeim(ge)* 'Goddess of Creation/Birth'
Qamkonj,ˈɢæm̥kɔɲ,N-H,The Homeland ('Land of Ancestors'),FROM: *qamke* '(personal) ancestor'
Kuskonj,ˈkuskɔɲ,N-H,The Homeland ('Land of Plenty'),FROM: *kusko* 'plenitude'
Uonjëkkouonj,ˈuo̯ɲɤkˌkou̯ɔɲ,N-H,The River Valley,FROM: *uonjë'-kou* 'cut-ACC'
Vônvënjh,ˈʋonʋɤɲ̊,N-H,The River,FROM: *vônvë* 'split'
