
ħanħśikke,ˈħæn̥ˌħɕikkɛ,N-D,Spirit (D),FROM: *ħanħaśxanjh* 'smoke'


vanħaonöri;ümanħaonöri;vanħonurëñqof;vanħaonöriñh,ˈʋæn̥ˌħæo̯nøri;ˈymæn̥ˌħæo̯nøri;ˈʋæn̥ħɔˌnurɤɴɢɔf;ˈʋæn̥ˌħæo̯nøriɴ̥,V-PP;V-PN;V-VP;V-VI,IMPF: to worship;PERF: to praise,IMPF: belong to the cult of;CF ORIG: *vaodri* 'sing'


ghâudokko,ˈɣɑʊ̯ˌdɔkkɔ,NOUN - Mythos,God > Deity (D),jâwtoche,ˈjaːwˌdɔt̚t͡ʃɐ

Vaśnjoqquoggo,ˈʋæɕɲ̊ɔɢˌɢuo̯ggɔ,NOUN - Mythos,The Pair of the Sky (Ienjaoge and Yinddźaoge),FROM: 'sky-dual'
Ienjaoge,ˈie̯ˌɲæo̯gɛ,NOUN - Mythos,God of the Night,FROM: 'night'
Yinddźaoge,ˈɟiɲɟˌɟ͡ʑæo̯gɛ,NOUN - Mythos,Goddess of the Day,FROM: 'day'
Tośquoggo,ˈtɔɕˌɢuo̯ggɔ,NOUN - Mythos,The Pair of Change (Tfencikke and Qu'ħusko),FROM: 'change-dual'
Tfencikke,ˈtfɛɲ̊ˌcikkɛ,NOUN - Mythos,Goddess of the Winds/Weather,
Qu'ħusko,ˈɢuʔˌħuskɔ,NOUN - Mythos,God of the Seasons/Harvests,FROM: 'year'
Camħeqquoggo,ˈcæm̥ħɛɢˌɢuo̯ggɔ,NOUN - Mythos,The Pair of Constancy (Xaqqêkke and Me'rheazge),FROM: 'to remain'
Xaqqêkke,ˈxæɢˌɢekkɛ,NOUN - Mythos,God of the Earth/Mountains,FROM: 'mountain'
Me'rheazge,ˈmɛʔˌr̥eɐ̯zgɛ,NOUN - Mythos,God of the Seas,FROM: 'sea'
Uħħuquoggo,ˈuħħuˌɢuo̯ggɔ,NOUN - Mythos,The Pair of Humanity/Human Worlds (Vaoñdvikke and Ljaearmikke),FROM: 'tribe'
Vaoñdvikke,ˈʋæo̯ɴˌdʋikkɛ,NOUN - Mythos,Goddess of Travels/Knowledge/The Living World,FROM: 'road'
Ljaearmikke,ˈʎæeɐ̯ˌrmikkɛ,NOUN - Mythos,Goddess of the Dead/Ancestors/The Spirit World,FROM: 'ancestor-help'
Esakkxikke,ˈɛsækˌkxikkɛ,NOUN - Mythos,"The Trio of Cycles (Ljiħħeimge, Qunljarge and Jêñghakke)",FROM: 'cycle-plur'
Ljiħħeimge,ˈʎiħˌħei̯mgɛ,NOUN - Mythos,Goddess of Creation/Birth,
Qunljarge,ˈɢuɲˌʎærgɛ,NOUN - Mythos,God of Destruction/War,FROM: 'fight'
Jêñghakke,ˈjeɴˌɣækkɛ,NOUN - Mythos,The Watcher/The Balancer/The Judge,FROM: 'see'

vônjoutśko,ˈʋoˌɲou̯c͡ɕkɔ,NOUN - Mythos,The Frost Bird,REG: vônjoubuħośko
ħanjmitśko,ˈħæɲ̊ˌm̥ic͡ɕkɔ,NOUN - Mythos,The Flame Bird,REG: ħanjmipüħośko
verxotśko,ˈʋɛr̥ˌxɔc͡ɕkɔ,NOUN - Mythos,The Rain Bird,REG: verxopüħośko
pâenjattśko,ˈpɑe̯ˌɲæcc͡ɕkɔ,NOUN - Mythos,The Storm Bird,REG: pâenjappuħośko
ghâeñoyattśko,ˈɣɑe̯ɴɔˌɟæcc͡ɕkɔ,NOUN - Mythos,The Mountain Bird,REG: ghâeñoyappuħośko

vôŕmosko,ˈʋoˌɹmɔskɔ,NOUN - Mythos,mammoth (legendary animal),
caśikke,ˈcæɕˌikkɛ,NOUN - Mythos,enchanted bone,
ghu'iegge,ˈɣuʔˌie̯ggɛ,NOUN - Mythos,purifying honey,
yiźmärrhänjh,ˈɟiʑˌmar̥r̥aɲ̊,NOUN - Mythos,idol / holy sculpture,
vaśśüge,ˈʋæɕˌɕygɛ,NOUN - Mythos,period / cleansing,



ljakke,ˈʎækkɛ,N-D,ancestor (general),CF *qamke* 'ancestor (personal)'




ħanħaśke,ˈħæn̥ˌħæɕkɛ,N-D,incense; smell of incense,"used for any aromatic/odorous fume, including cannabis";FROM *ħanħaśxanjh* 'smoke';CF: *ħanśanjh* 'odour'



