
meħħonj;âemfonj;meħħonj;meħħaonje,ˈmɛħħɔɲ;ˈɑe̯m̥fɔɲ;ˈmɛħħɔɲ;ˈmɛħˌħæo̯ɲɛ,V-PP;V-PN;V-VP;V-VI,to dig,ACC: thing dug into (e.g. ground),
ljanfa;qêśśanfa;ljanfa;ljanfae,ˈʎæn̥fæ;ˈɢeɕˌɕæn̥fæ;ˈʎæn̥fæ;ˈʎæn̥ˌfæɛ,V-PP;V-PN;V-VP;V-VI,to shape (pottery);to guide;to carve (wood),CF: *ljanci* 'to turn'
erremfonj,ɛrˈrɛm̥fɔɲ,V,to mine (dig for metal/stone),FROM: *erreqqa + meħħonj* 'to dig stone'
erreħħuonjë',ɛrˈrɛħˌħuo̯ɲɤʔ,V,to quarry (cut stone from deposit),FROM: *erreqqa + uonjë'* 'to cut stone'
qunduomoa,ˈɢunˌduo̯moɐ̯,V,to make furniture,FROM: *qunduomoa (old verb)* 'join'

vônjof;vôxfienjef;vônjof;vôtufo,ˈʋoɲɔf;ˈʋoxˌfie̯ɲɛf;ˈʋoɲɔf;ˈʋoˌtufɔ,V-PP;V-PN;V-VP;V-VI,to hammer into shape,
rheük;jêmreük;rheük;rheuko,ˈr̥ɛyk;ˈjemˌrɛyk;ˈr̥ɛyk;ˈr̥ɛˌukɔ,V-PP;V-PN;V-VP;V-VI,to smelt,
erraonja';qêrrhaonja';erraonja';erraocae,ɛrˈræo̯ɲæʔ;ˈɢer̥ˌr̥æo̯ɲæʔ;ɛrˈræo̯ɲæʔ;ɛrˈræo̯ˌcæɛ,V-PP;V-PN;V-VP;V-VI,to cast (pour metal into cast),

me'odv,ˈmɛʔɔdʋ,N-I,clay,
ħrhaodva,ˈħr̥æo̯dʋæ,N-I,(clay) pot / pottery,
ħrhâedvum,ˈħr̥ɑe̯dʋum,N-H,potter,
mette',ˈmɛttɛʔ,N-I,clay brick,
qotfśo,ˈɢɔtfɕɔ,N-I,wood,
irtfśe,ˈir̥tfɕɛ,ADJ,wooden,
qotfśum,ˈɢɔtfɕum,N-H,lumberjack,
qunduomoam,ˈɢunˌduo̯moɐ̯m,N-H,joiner (maker of wooden furniture),
kaŕa'an,ˈkæˌɹæʔæn,N-H,furniture
ljanfan,ˈʎæn̥fæn,N-H,wood carver
ljanfkeu,ˈʎæn̥fkøʊ̯,N-I,wood carving
ljancemh,ˈʎæɲ̊cɛm̥,N-A,wheel,
ienjö,ˈie̯ɲø,N-A,cart,
teqqe,ˈtɛɢɢɛ,N-I,stone block,
irreqqa,ˈirˌrɛɢɢæ,ADJ,(made of) stone,
teqqün,ˈtɛɢɢyn,N-H,stone quarrier,
źñärhä,ˈʑɴar̥a,N-I,metal,
źñârhâ,ˈʑɴʌr̥ʌ,N-I,metal tool,
źñârhôm,ˈʑɴʌr̥om,N-H,metalworker,
źñärhên,ˈʑɴar̥en,N-H,miner,
rheśrhä,ˈr̥ɛɕr̥a,N-I,gold,
to'rhä,ˈtɔʔr̥a,N-I,copper,
totfrhä,ˈtɔtfr̥a,N-I,tin,
qundoarä,ˈɢunˌdoɐ̯ra,N-I,bronze,
vaśrhä,ˈʋæɕr̥a,N-I,meteor iron,
miśrhä,ˈmiɕr̥a,N-I,iron,
vônjë,ˈʋoɲɤ,N-I,hammer,
rhekkê,ˈr̥ɛkke,N-I,smelting furnace,
uovdvë,ˈuo̯ʋdʋɤ,N-I,bellows,
orrâeë,ɔrˈrɑe̯ɤ,N-I,cast,
errettün,ɛrˈrɛttyn,N-H,mason;(generally) builder,
oħkum,ˈɔħkum,N-H,carpenter;(generally) builder,

ħuiccenjh;iñêccenjh;ħuiccenjh;ħuëccenje,ˈħuˌiccɛɲ̊;ˈiˌɴeccɛɲ̊;ˈħuˌiccɛɲ̊;ˈħuɤcˌcɛɲ̊ɛ,V-PP;V-PN;V-VP;V-VI,to tie,
jêmdlü;jêxiemdlü;jêmdlü;jêmdluo,ˈjemdly;ˈjeˌxie̯mdly;ˈjemdly;ˈjemˌdluɔ,V-PP;V-PN;V-VP;V-VI,to make felt,
rhaoinjh;jêmraoinjh;rhaoinjh;rhaoinje,ˈr̥æo̯iɲ̊;ˈjemˌræo̯iɲ̊;ˈr̥æo̯iɲ̊;ˈr̥æo̯ˌiɲ̊ɛ,V-PP;V-PN;V-VP;V-VI,to dye,
