


e'irh,ˈɛʔir̥,PREP,Of,keir,ˈkɛʔir̥
ulo,ˈulɔ,PREP,With ,vlo,ˈvlɔ
feś,ˈfɛɕ,PREP,Like/As,fes,ˈfɛs
zo,ˈzɔ,PREP,After,zo,ˈzɔ
yiñ,ˈɟiɴ,PREP,Before,îk,ˈʔĩːg̚
ħum,ˈħum,PREP,From,hû,ˈħũː



ħanħśikke,ˈħæn̥ˌħɕikkɛ,NOUN - People,Smoke > Spirit (D),hanvaliche,ˈħæn̥ˌfɬit̚t͡ʃɐ



yeppinjenjh,ˈɟɛpˌpiɲɛɲ̊,NOUN - Senses,Whimper (A),epîten,ˈʔɛp̚ˌpĩːd̚ɐn̥
yappinjanjh,ˈɟæpˌpiɲæɲ̊,NOUN - Senses,Growl/Bark (A),apîtan,ˈʔæp̚ˌpĩːd̚æn̥
qoppinjenjh,ˈɢɔpˌpiɲɛɲ̊,NOUN - Senses,Roar (A),opîton,ˈʔɔp̚ˌpĩːd̚ɐn̥
paocaanjh,ˈpæo̯ˌcææɲ̊,NOUN - Senses,Thunderclap (A),pâtakkan,ˈpaːˌtæk̚kæn̥
rhuonjarrhänjh,ˈr̥uo̯ˌɲær̥r̥aɲ̊,NOUN - Senses,Thunder Rumble (A),prônexxan,ˈpr̥uːˌnɛxxæn̥
qaccaogge,ˈɢæcˌcæo̯ggɛ,NOUN - Senses,Lightning Flash (A),qattâtiche,ˈqæt̚ˌtaːd̚d͡ʒɐ


ghâudokko,ˈɣɑʊ̯ˌdɔkkɔ,NOUN - Mythos,God > Deity (D),jâwtoche,ˈjaːwˌdɔt̚t͡ʃɐ
vaśnjoqquoggo,ˈʋæɕɲ̊ɔɢˌɢuo̯ggɔ,NOUN - Mythos,Sky.dual > The Pair of the Sky (Ienjaoge and Yinddźaoge) (D),valanâtqôtiche,ˈvæɬn̥ɑːd̚ˌɢuːd̚d͡ʒɐ
ienjaoge,ˈie̯ˌɲæo̯gɛ,NOUN - Mythos,Night > God of the Night (D),gjîkâche,ˈʝĩːˌgaːd͡ʒɐ
yinddźaoge,ˈɟiɲɟˌɟ͡ʑæo̯gɛ,NOUN - Mythos,Day > Goddess of the Day (D),îksâche,ˈʔĩːg̚ˌzaːd͡ʒɐ
tośquoggo,ˈtɔɕˌɢuo̯ggɔ,NOUN - Mythos,Change.dual > The Pair of Change (Tfencikke and Qu'ħusko) (D),tolaqôtiche,ˈtɔɬˌquːd̚d͡ʒɐ
tfencikke,ˈtfɛɲ̊ˌcikkɛ,NOUN - Mythos,Goddess of the Winds/Weather (D),tsenaniche,ˈt͡θɛn̥ˌn̥it̚t͡ʃɐ
qu'ħusko,ˈɢuʔˌħuskɔ,NOUN - Mythos,Year > God of the Seasons/Harvests (D),ukhisiche,ˈʔuk̚ˌħɨst͡ʃɐ
camħeqquoggo,ˈcæm̥ħɛɢˌɢuo̯ggɔ,NOUN - Mythos,Remain.dual > The Pair of Constancy (D),tamheqôtiche,ˈtæm̥ħɐq̚ˌquːd̚d͡ʒɐ
arrhaqqêkke,ær̥ˈr̥æɢˌɢekkɛ,NOUN - Mythos,Mountain > God of the Earth/Mountains (D),xetaqiche,ˈxɛt̚ˌqɨt̚t͡ʃɐ
me'rheazge,ˈmɛʔˌr̥eɐ̯zgɛ,NOUN - Mythos,Sea > God of the Seas (D),metugêziche,ˈmɛt̚ˌxiːzd͡ʒɐ
uħħuquoggo,ˈuħħuˌɢuo̯ggɔ,NOUN - Mythos,Tribe.dual > The Pair of Humanity/Human Worlds (D),vuhîñqôtiche,ˈvuħħɨ̃ːˌɢuːd̚d͡ʒɐ
vaoñdvikke,ˈʋæo̯ɴˌdʋikkɛ,NOUN - Mythos,Road > Goddess of Travels/Knowledge/The Living World (D),vâkutsiche,ˈvaːg̚ˌd͡ðit̚t͡ʃɐ
